-30,1.2,-1,0.4,35.5,-17.361
-30,1.2,-1,0.4,36,-17.228
-30,1.2,-1,0.4,36.5,-17.125
-30,1.2,-1,0.4,37,-17.047
-30,1.2,-1,0.4,37.5,-16.976
-30,1.2,-1,0.4,38,-16.992
-30,1.2,-1,0.4,38.5,-16.972
-30,1.2,-1,0.4,39,-16.951
-30,1.2,-1,0.4,39.5,-16.968
-30,1.2,-1,0.4,40,-16.985
-30,1.2,-1,0.4,40.5,-17.023
-30,1.2,-1,0.4,41,-17.088
-30,1.2,-1,0.4,41.5,-17.134
-30,1.2,-1,0.4,42,-17.135
-30,1.2,-1,0.6,34,-17.782
-30,1.2,-1,0.6,34.5,-17.401
-30,1.2,-1,0.6,35,-17.202
-30,1.2,-1,0.6,35.5,-17.021
-30,1.2,-1,0.6,36,-16.896
-30,1.2,-1,0.6,36.5,-16.801
-30,1.2,-1,0.6,37,-16.729
-30,1.2,-1,0.6,37.5,-16.664
-30,1.2,-1,0.6,38,-16.682
-30,1.2,-1,0.6,38.5,-16.667
-30,1.2,-1,0.6,39,-16.651
-30,1.2,-1,0.6,39.5,-16.673
-30,1.2,-1,0.6,40,-16.695
-30,1.2,-1,0.6,40.5,-16.737
-30,1.2,-1,0.6,41,-16.807
-30,1.2,-1,0.6,41.5,-16.858
-30,1.2,-1,0.6,42,-16.862
-30,1.2,-1,0.8,34,-17.59
-30,1.2,-1,0.8,34.5,-17.217
-30,1.2,-1,0.8,35,-17.023
-30,1.2,-1,0.8,35.5,-16.847
-30,1.2,-1,0.8,36,-16.726
-30,1.2,-1,0.8,36.5,-16.634
-30,1.2,-1,0.8,37,-16.565
-30,1.2,-1,0.8,37.5,-16.503
-30,1.2,-1,0.8,38,-16.523
-30,1.2,-1,0.8,38.5,-16.511
-30,1.2,-1,0.8,39,-16.497
-30,1.2,-1,0.8,39.5,-16.522
-30,1.2,-1,0.8,40,-16.546
-30,1.2,-1,0.8,40.5,-16.591
-30,1.2,-1,0.8,41,-16.662
-30,1.2,-1,0.8,41.5,-16.715
-30,1.2,-1,0.8,42,-16.722
-30,1.2,-1,1,34,-17.476
-30,1.2,-1,1,34.5,-17.107
-30,1.2,-1,1,35,-16.916
-30,1.2,-1,1,35.5,-16.743
-30,1.2,-1,1,36,-16.624
-30,1.2,-1,1,36.5,-16.534
-30,1.2,-1,1,37,-16.467
-30,1.2,-1,1,37.5,-16.407
-30,1.2,-1,1,38,-16.428
-30,1.2,-1,1,38.5,-16.417
-30,1.2,-1,1,39,-16.405
-30,1.2,-1,1,39.5,-16.431
-30,1.2,-1,1,40,-16.457
-30,1.2,-1,1,40.5,-16.503
-30,1.2,-1,1,41,-16.576
-30,1.2,-1,1,41.5,-16.63
-30,1.2,-1,1,42,-16.638
-30,1.2,-0.8,-1,34,-31.364
-30,1.2,-0.8,-1,34.5,-32.77
-30,1.2,-0.8,-1,35,-33.628
-30,1.2,-0.8,-1,35.5,-34.932
-30,1.2,-0.8,-1,36,-36.308
-30,1.2,-0.8,-1,36.5,-37.968
-30,1.2,-0.8,-1,37,-39.849
-30,1.2,-0.8,-1,37.5,-42.335
-30,1.2,-0.8,-1,38,-43.473
-30,1.2,-0.8,-1,38.5,-46.283
-30,1.2,-0.8,-1,39,-51.259
-30,1.2,-0.8,-1,39.5,-61.053
-30,1.2,-0.8,-1,40,-58.489
-30,1.2,-0.8,-1,40.5,-50.441
-30,1.2,-0.8,-1,41,-46.647
-30,1.2,-0.8,-1,41.5,-43.627
-30,1.2,-0.8,-1,42,-41.42
-30,1.2,-0.8,-0.8,34,-32.461
-30,1.2,-0.8,-0.8,34.5,-34.096
-30,1.2,-0.8,-0.8,35,-35.113
-30,1.2,-0.8,-0.8,35.5,-36.674
-30,1.2,-0.8,-0.8,36,-38.356
-30,1.2,-0.8,-0.8,36.5,-40.454
-30,1.2,-0.8,-0.8,37,-42.94
-30,1.2,-0.8,-0.8,37.5,-46.462
-30,1.2,-0.8,-0.8,38,-48.14
-30,1.2,-0.8,-0.8,38.5,-52.481
-30,1.2,-0.8,-0.8,39,-55.991
-30,1.2,-0.8,-0.8,39.5,-51.665
-30,1.2,-0.8,-0.8,40,-47.145
-30,1.2,-0.8,-0.8,40.5,-44.252
-30,1.2,-0.8,-0.8,41,-42.241
-30,1.2,-0.8,-0.8,41.5,-40.33
-30,1.2,-0.8,-0.8,42,-38.784
-30,1.2,-0.8,-0.6,34,-34.406
-30,1.2,-0.8,-0.6,34.5,-36.526
-30,1.2,-0.8,-0.6,35,-37.887
-30,1.2,-0.8,-0.6,35.5,-40.023
-30,1.2,-0.8,-0.6,36,-42.388
-30,1.2,-0.8,-0.6,36.5,-45.359
-30,1.2,-0.8,-0.6,37,-48.34
-30,1.2,-0.8,-0.6,37.5,-49.505
-30,1.2,-0.8,-0.6,38,-48.933
-30,1.2,-0.8,-0.6,38.5,-46.979
-30,1.2,-0.8,-0.6,39,-44.484
-30,1.2,-0.8,-0.6,39.5,-42.554
-30,1.2,-0.8,-0.6,40,-40.714
-30,1.2,-0.8,-0.6,40.5,-39.281
-30,1.2,-0.8,-0.6,41,-38.15
